"","Ticker","SEC_Company_ID"
"1327","AROW",717538
"1328","DOC",1574540
"1330","RBCAA",921557
"1331","MU",723125
"1332","ONCE",1609351
"1339","GNMK",1487371
"1342","LSI",944314
"1343","HIFR",1506401
"1345","BLPH",1600132
"1347","RTTR",1460702
"1355","USAU",27093
"1358","EVRI",1318568
"1360","BF-B",14693
"1365","ESP",33533
"1368","HOMB",1331520
"1370","TACT",1017303
"1371","BURL",1579298
"1374","QBAK",758938
"1375","SCHN",912603
"1379","UEIC",101984
"1385","R",85961
"1386","NHI",877860
"1389","CCMP",1102934
"1390","CBKM",1006830
"1391","CSWI",1624794
"1392","AMDA",1269026
"1397","SLAB",1038074
"1409","TLRS",1288750
"1410","UVSP",102212
"1412","IBM",51143
"1414","C",831001
"1416","VZ",732712
"1417","GDOT",1386278
"1418","NTRS",73124
"1419","AGM",845877
"1420","BDN",790816
"1421","BIO",12208
"1425","UNM",5513
"1427","AWK",1410636
"1428","BSX",885725
"1431","MTSI",1493594
"1433","OXFD",1586049
"1435","LTXB",1487052
"1436","BDX",10795
"1438","KO",21344
"1445","CVRR",1558785
"1446","USG",757011
"1454","BIOC",1044378
"1455","OSIS",1039065
"1456","KMX",1170010
"1459","CPRT",900075
"1461","HUM",49071
"1462","CAT",18230
"1467","NEWR",1448056
"1469","CGIX",1349929
"1470","ONDK",1420811
"1471","WR",54507
"1472","NVTA",1501134
"1473","COT",884713
"1474","AQXP",1404644
"1478","ENVA",1529864
"1479","RDNT",790526
"1480","PYDS",1088034
"1482","NEOG",711377
"1486","EXPD",746515
"1487","MAS",62996
"1488","KLXI",1617898
"1490","BLCM",1358403
"1491","AAT",1500217
"1492","JRVR",1620459
"1493","CVGW",1133470
"1498","EXLS",1297989
"1503","BCO",78890
"1509","FFMH",703329
"1511","LC",1409970
"1512","KDUS",911148
"1513","SITO",1157817
"1514","CCUR",749038
"1517","PLCE",1041859
"1522","PNBK",1098146
"1523","MDU",67716
"1524","TPX",1206264
"1525","UCBI",857855
"1527","SKIS",1517401
"1528","LAD",1023128
"1530","THG",944695
"1533","SHLD",1310067
"1537","X",1163302
"1538","ON",1097864
"1539","AEHR",1040470
"1543","STBZ",1497275
"1544","ABCB",351569
"1545","EYES",1266806
"1546","ARGS",1105533
"1550","WPX",1518832
"1551","STOR",1538990
"1553","EGBN",1050441
"1554","FMC",37785
"1556","CRK",23194
"1560","WINT",946486
"1561","OC",1370946
"1563","ANGO",1275187
"1564","ADI",6281
"1565","INCY",879169
"1566","COFS",803164
"1567","FRPT",1611647
"1570","EGY",894627
"1573","AINC",1604738
"1579","TEN",1024725
"1580","NPO",1164863
"1583","CTL",18926
"1584","HQY",1428336
"1585","PRAA",1185348
"1587","TCX",909494
"1588","HTGM",1169987
"1589","UEC",1334933
"1590","PLX",1006281
"1593","RXN",1439288
"1597","ITRI",780571
"1599","FGEN",921299
"1602","SHLX",1610466
"1604","KPTI",1503802
"1606","BSM",1621434
"1607","TCS",1411688
"1612","PRTO",1359931
"1613","ANF",1018840
"1616","PRTK",1178711
"1617","NDAQ",1120193
